Filename,Title,GameID,Region,FMID
HOD2DC_?????,The House of the Dead 2,MK-51002  ,USA,MK5100250
HYLCASINO000,Hoyle Casino,T11008N 00,USA,
H_SWORDS.MIN,Hundred Swords,HDR-0124  ,Japan,HDR0124
HYDRO___SYS?,Hydro Thunder,T-9702D-50,Europe,
HYDRO___SYS?,Hydro Thunder,T-9702N   ,USA,
IKARUGA_DATA,Ikaruga,T38706M   ,Japan,T38706M
ILLBLEED.???,Illbleed,T45601M   ,Japan,T45601M
ILLBLEED.???,Illbleed,T45601M 11,Taiwan,T45601M
ILLBLEED.???,Illbleed,T46001N   ,USA,T46001N
INCOMING.???,Incoming,T40701D-50,Europe,T40701D
INCOMING.???,Incoming,T12503N   ,USA,T40701D
INCOMING.???,Incoming: Jinrui Saishuu Kessen,T15001M   ,Japan,T40701D
I_SPY____000,Industrial Spy: Operation Espionage,T41302N   ,USA,T41302N
IRONACES.G??,Iron Aces,T44904D 50,Europe,T44904D50
IRONACES.G??,Iron Aces,T15129N   ,USA,T44904D50
JMSX2000_???,Jeremy McGrath Supercross 2000,T8114D  50,Europe,T8114D50
JMSX2000_???,Jeremy McGrath Supercross 2000,T-8104N   ,USA,T8114D50
JETGRIND_???,Jet Grind Radio,MK-51058  ,USA,MK51058
JETRADIO_???,Jet Set Radio,MK-5105850,Europe,MK5105850
JETRADIO_???,Jet Set Radio,HDR-0078  ,Japan,HDR0078
POWERJET.SYS,Power Jet Racing 2001,T6806M    ,Japan,T6803M
JETSETDX_SYS,De La Jet Set Radio,HDR-0128  ,Japan,HDR0186
JOJO_ADV_SYS,Jojo no Kimyou na Bouken: Mirai e no Isan,T1205M    ,Japan,T7007D50
JOJO_ADV_SYS,JoJo's Bizarre Adventure,T7007D  50,Europe,T7007D50
JOJO_ADV_SYS,JoJo's Bizarre Adventure,T1206N    ,USA,T7007D50
JULY0000_???,July,T35401M   ,Japan,
KANON___.???,Kanon,T20105M   ,Japan,T20105M
KAO_KANG.???,Kao the Kangaroo,T22902D 50,Europe,T22902D50
KAO_KANG.???,Kao the Kangaroo,T22903N   ,USA,T22902D50
TRMR_KPC.DAT,KISS Psycho Circus: The Nightmare Child,T40506D 50,Europe,T40506D50
TRMR_KPC.DAT,KISS Psycho Circus: The Nightmare Child,T41901N   ,USA,T40506D50
KOF2000_0000,The King of Fighters 2000,T47303M   ,Japan,T47303M
KOF2001_0000,The King of Fighters 2001,T47304M   ,Japan,T47304M
KOF2002_0000,The King of Fighters 2002,T47305M   ,Japan,T47305M
KOF1999_0000,The King of Fighters: Dream Match 1999,T3101M    ,Japan,T3101M
KOF_1999.DAT,The King of Fighters: Dream Match 1999,T3101M    ,Japan,T3101M
KOF_1999.DAT,The King of Fighters: Dream Match 1999,T3101N    ,USA,T3101M
KOF_EVOL.SYS,The King of Fighters: Evolution,T44302N   ,USA,
KOF99EVO.SYS,The King of Fighters '99: Evolution,T3102M    ,Japan,
LANGMILL.???,Langrisser Millennium,T2501M    ,Japan,T2501M
GEKKANOKENSI,Bakumatsu Roman Daini Maku: Gekka no Kenshi: Final Edition,T3107M    ,Japan,T3107M
GEKKANOKENSI,The Last Blade 2: Heart of the Samurai,T44305N   ,USA,
SLREAVER.001,Legacy of Kain: Soul Reaver,T36802N   ,Any,T36803D06
TDLEMANS.???,Test Drive Le Mans,T15123N   ,USA,T15111D50
LEMANS24.???,Le Mans 24 Hours,T15111D 50,Europe,T15111D50
LEMANS24.???,Le Mans 24 Hours,HDR-0149  ,Japan,T15111D50
SPACERACE???,Looney Tunes: Space Race,T15108D   ,Europe,T15108D50
SPACERACE???,Looney Tunes: Space Race,T15116N   ,USA,T15108D50
LOVEHINA.SYS,Love Hina: Totsuzen no Engage Happening,HDR-0102  ,Japan,HDR0102
